country_code,country_name,region,income_level,indicator_code,indicator_name,value,year
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",2.161,2021
TUR,Turkiye,Europe & Central Asia,Upper middle income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",3.483,2022
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",3.488,2023
TUV,Tuvalu,East Asia & Pacific,Upper middle income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",3.942,2020
UGA,Uganda,Sub-Saharan Africa ,Low income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",2.265,2022
UKR,Ukraine,Europe & Central Asia,Upper middle income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",6.079,2023
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",6.187,2022
GBR,United Kingdom,Europe & Central Asia,High income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",9.549,2023
USA,United States,North America,High income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",13.38,2022
URY,Uruguay,Latin America & Caribbean ,High income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",7.386,2022
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",11.08,2020
VUT,Vanuatu,East Asia & Pacific,Lower middle income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",1.459,2019
VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",2.003,2018
VNM,Viet Nam,East Asia & Pacific,Lower middle income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",1.441,2016
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",0.541,2023
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",2.936,2022
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000)",3.071,2022
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",53.0,2024
ALB,Albania,Europe & Central Asia,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.2,2024
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",21.6,2024
AND,Andorra,Europe & Central Asia,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2.5,2024
AGO,Angola,Sub-Saharan Africa ,Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",49.0,2024
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.1,2024
ARG,Argentina,Latin America & Caribbean ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.5,2024
ARM,Armenia,Europe & Central Asia,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.6,2024
AUS,Australia,East Asia & Pacific,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",3.6,2024
AUT,Austria,Europe & Central Asia,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",3.3,2024
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",17.9,2024
BHS,"Bahamas, The",Latin America & Caribbean ,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",12.4,2024
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",8.8,2024
BGD,Bangladesh,South Asia,Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",30.5,2024
BRB,Barbados,Latin America & Caribbean ,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.8,2024
BLR,Belarus,Europe & Central Asia,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2.3,2024
BEL,Belgium,Europe & Central Asia,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",3.7,2024
BLZ,Belize,Latin America & Caribbean ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",12.7,2024
BEN,Benin,Sub-Saharan Africa ,Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",74.7,2024
BTN,Bhutan,South Asia,Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",17.2,2024
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",15.7,2024
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",6.9,2024
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",33.3,2024
BRA,Brazil,Latin America & Caribbean ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",14.2,2024
VGB,British Virgin Islands,Latin America & Caribbean ,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",12.4,2024
BRN,Brunei Darussalam,East Asia & Pacific,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",9.9,2024
BGR,Bulgaria,Europe & Central Asia,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.7,2024
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",74.9,2024
BDI,Burundi,Sub-Saharan Africa ,Low income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",47.1,2024
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",11.1,2024
KHM,Cambodia,East Asia & Pacific,Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",18.4,2024
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",64.8,2024
CAN,Canada,North America,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.4,2024
CAF,Central African Republic,Sub-Saharan Africa ,Low income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",89.7,2024
TCD,Chad,Sub-Saharan Africa ,Low income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",97.3,2024
CHL,Chile,Latin America & Caribbean ,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",6.8,2024
CHN,China,East Asia & Pacific,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.7,2024
COL,Colombia,Latin America & Caribbean ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",11.5,2024
COM,Comoros,Sub-Saharan Africa ,Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",39.0,2024
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",89.7,2024
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",39.1,2024
